id,ms,date,puzzle,scramble,plus2,dnf
MKNXuoScn,23335,2020-11-11T20:11:10.270Z,3x3x3,"R' U2 L B2 D2 R2 F2 R U2 L' F2 U' R' F' R' U' R' B2 F2 U2",,
p8wq2TLSK,21275,2020-11-11T20:11:56.726Z,3x3x3,"R2 L F2 D F B U' F2 R B R2 U2 B2 R2 L2 U2 D' F2 R2 D2 L2",,
CCX7RBhDl,28308,2020-11-11T20:12:52.111Z,3x3x3,"U2 L' F' D' R2 B' U B' L U F2 D2 L2 F2 U2 F2 L' F2 B2",,
pT8y6wTAL,24731,2020-11-11T20:13:35.573Z,3x3x3,"U' L2 R2 U2 L2 B2 D F2 U2 L2 R B2 F U B F2 L D B'",,
-7eYKFUGZ,28276,2020-11-11T20:15:26.181Z,3x3x3,"B2 L2 D2 R' B2 D2 B2 F2 R U2 R B D' U2 R F' L' D F' L U2",,
Ul1wf1AWW,20667,2020-11-11T20:16:10.839Z,3x3x3,"F2 D' L2 U2 L2 D' B2 D' U2 R2 U B' L' U F' D2 R2 D2 U' F'",,
V4P_GJVv-,23432,2020-11-11T20:18:08.597Z,3x3x3,"L2 D2 L2 B2 R2 F' L2 D2 U2 B D L D' F U' L2 F2 L D' U'",,
ekgDjy_cJ,27142,2020-11-11T20:18:58.775Z,3x3x3,"L2 U L2 B2 U' L2 U F2 R2 D2 L2 R F2 D B R' F L U2 B'",,
gXtFb6A3m,30399,2020-11-12T11:55:54.796Z,3x3x3,"D2 B' L2 F2 L2 B' L2 U2 F' L2 F2 L F' L B' D2 B2 R U' B'",,
Jt80C8wOP,26901,2020-11-12T11:56:55.728Z,3x3x3,"L D2 L D2 F2 R F2 L2 B2 D2 R' U L2 D F' R2 D' F' R' B' L2",,
7BE53RHfc,23329,2020-11-12T11:57:42.662Z,3x3x3,"F2 L2 D R2 F2 L2 U' B2 D L2 F' U F2 L' U2 L B2 R D' B R2",,
0xMbj02Ye,26866,2020-11-12T13:26:41.797Z,3x3x3,"L2 B2 D2 L' F2 R' D2 F2 R D2 U2 F L B' D' U B' F' D R' F2",,
5CA__dcIB,26580,2020-11-12T13:27:47.086Z,3x3x3,"B D2 L2 F R2 F R2 D2 B2 L2 B' D' B' F2 D2 L D' R D",,
xw4uzqrDC,20913,2020-11-12T13:28:27.725Z,3x3x3,"U' R2 F2 D R D2 F2 L' U R F L2 F L2 F U2 B2 U2 F R2",,
pvVrXnurx,22303,2020-11-12T13:29:25.285Z,3x3x3,"R2 D B2 F2 U' F2 L2 D2 U2 F2 D L' U2 B D F2 R D2 U L' R'",,
m2H_mFDtE,24332,2020-11-12T13:31:27.053Z,3x3x3,"L2 F2 U2 R2 D2 U' B2 U R2 F' U B R' B' L U' R2 U' F'",,
JlxjpD7GD,19804,2020-11-12T13:32:21.014Z,3x3x3,"D2 L U2 B2 R B2 R' F2 U2 R2 F2 D R2 U R2 F' R D' B L B",,
ax-wZZ35T,22365,2020-11-12T13:33:10.425Z,3x3x3,"D' R' F L' D2 F' D R2 D' R' U2 R U2 F2 R' L' D2 R U2 R'",,
ymY9cGFkS,26830,2020-11-12T13:34:18.306Z,3x3x3,"F' D2 B' D2 B U2 L2 D2 L2 F' D2 U' B U L' D' U L2 U2 B",,
qxDcS0tYM,19921,2020-11-12T13:35:37.546Z,3x3x3,"L2 D B2 R2 D' R2 F2 D2 F2 D2 R F' D L R2 U L2 B R' F2",,
hYL889REA,17296,2020-11-12T13:36:42.127Z,3x3x3,"F2 R' L D' B2 U R D F U2 R2 U2 R U2 R F2 R D2 B2 R'",,
4DXoB-GJM,22713,2020-11-12T13:37:30.297Z,3x3x3,"L2 U' F2 D2 U' R2 U R2 F2 R2 U2 B' L F D B' U2 L2 B L' B'",,
71qYlw3dJ,21989,2020-11-12T13:39:32.122Z,3x3x3,"D' F2 D2 F2 R2 U L2 U' F2 L2 R2 B D' L2 D L' U2 F R' F",,
YcP0CDD13,24150,2020-11-12T13:40:44.922Z,3x3x3,"U B2 D F2 D2 F2 U' L2 R2 D L2 F L2 R2 F D' L' R' B' U2 B'",,
5waxOLvgm,24338,2020-11-12T15:42:54.282Z,3x3x3,"U2 R2 U2 R2 F' L2 D2 B' F2 U2 B2 R B U B2 U L B2 L B2 F'",,
O6X37-MYl,21581,2020-11-12T15:43:51.306Z,3x3x3,"U2 L2 R2 F R2 F2 D2 F' D2 L2 F2 U' L' F2 L2 U R D B2 U B",,
